히라가나,뜻
えんかい,연회
じょうし,(직장)상사
ごうけい,합계
やぶる,"깨다, 깨뜨리다"
げいじゅつ,예술
みかた,"자기편, 아군"
さくひん,작품
とうじ,당시
ちがい,"틀림, 차이"
じじょう,사정
さわぎ,소란
うんちん,운임 (교통비)
しゅくしょう,축소
とくせい,특성
まいご,미아
おこなう,행하다
ざせき,좌석
てってい,철저
ちょうし,상태
ひょうめん,표면
がっき,악기
きみ,"기미, 기분"
ははおや,모친
ぶっしつ,물질
けいえい,경영
かくす,감추다
ひょうげん,표현
そうぞう,상상
くしゃみ,재채기
かたな,(싸움용) 칼
もらう,받다
ふへい,불평
かんじる,느끼다
きゅうりょう,급료 (봉급)
あわ,거품
のびる,"늘어나다, 자라다"
かち,가치
さいのう,재능
こううん,행운
ぜんぽう,전방
ぶぶん,부분
そなえる,대비(준비)하다
しんじる,믿다
くりかえす,반복하다
おや,부모
まつり,"축제, 잔치"
くう,먹다
さいこう,최고
たんかだいがく,단과대학
はたらき,일(근무)
あんてい,안정
きおく,기억
あらわす,나타내다
かんする,~에 관한
あおじろい,창백하다
へいわ,평화
おおや,(셋집의)주인
こうこく,광고
さる,원숭이
あやまり,"잘못, 오차"
しりょう,자료
かたる,이야기하다
あいかわらず,여전히
じぎょうぶちょう,사업부장
ちがいない,틀림없다
ねんじゅう,연중
しょうにん,상인
しょうてんがい,상점가
のばす,"펴다, (실력)키우다"
くだり,내려감
かし,빌려 줌
こづつみ,소포
こきょう,고향
あつかう,"다루다, 취급하다"
けしょう,화장
ぜんたい,전체
ゆき,"감, ~행"
ぜったい,절대
ねっちゅう,열중
おろす,내리다
ちゃいろ,갈색
あたたかい,따뜻하다
うりあげ,매출
ばめん,장면
さめる,식다
きづく,눈치 채다
すく,비다
いんたい,은퇴
じゅんばん,순번
かんがえ,생각
かおり,향기
がいしゅつ,외출
ちょうさ,조사
しょうばい,장사
さます,"깨다, 깨우다"
こし,허리
むすぶ,"맺다, 묶다"
はくしゅ,박수
まち,번화한 거리
とおり,길
しゅっきん,출근
ふとん,이불
こいびと,연인
あしあと,"발자취, 발자국"
しんけんに,진지하게
ぎゃく,반대
ざいさん,재산
けんか,싸움
なみだ,눈물
めったに,좀처럼
